Epochs,train_loss,val_loss
1,322028.98138921487,2116906.4377949396
2,322028.98138921487,2116906.4377949396
3,322028.98138921487,2116906.4377949396
4,322028.98138921487,2116906.4377949396
5,322028.98138921487,2116906.4377949396
6,322028.98138921487,2116906.4377949396
7,322028.98138921487,2116906.4377949396
8,322028.98138921487,2116906.4377949396
9,322028.98138921487,2116906.4377949396
10,322028.98138921487,2116906.4377949396
11,322028.98138921487,2116906.4377949396
12,322028.98138921487,2116906.4377949396
13,322028.98138921487,2116906.4377949396
14,322028.98138921487,2116906.4377949396
15,322028.98138921487,2116906.4377949396
16,322028.98138921487,2116906.4377949396
17,322028.98138921487,2116906.4377949396
18,322028.98138921487,2116906.4377949396
19,322028.98138921487,2116906.4377949396
20,322028.98138921487,2116906.4377949396
21,322028.98138921487,2116906.4377949396
22,322028.98138921487,2116906.4377949396
23,322028.98138921487,2116906.4377949396
24,322028.98138921487,2116906.4377949396
25,322028.98138921487,2116906.4377949396
26,322028.98138921487,2116906.4377949396
27,322028.98138921487,2116906.4377949396
28,322028.98138921487,2116906.4377949396
29,322028.98138921487,2116906.4377949396
30,322028.98138921487,2116906.4377949396
31,322028.98138921487,2116906.4377949396
32,322028.98138921487,2116906.4377949396
33,322028.98138921487,2116906.4377949396
34,322028.98138921487,2116906.4377949396
35,322028.98138921487,2116906.4377949396
36,322028.98138921487,2116906.4377949396
37,322028.98138921487,2116906.4377949396
38,322028.98138921487,2116906.4377949396
39,322028.98138921487,2116906.4377949396
40,322028.98138921487,2116906.4377949396
41,322028.98138921487,2116906.4377949396
42,322028.98138921487,2116906.4377949396
43,322028.98138921487,2116906.4377949396
44,322028.98138921487,2116906.4377949396
45,322028.98138921487,2116906.4377949396
46,322028.98138921487,2116906.4377949396
47,322028.98138921487,2116906.4377949396
48,322028.98138921487,2116906.4377949396
49,322028.98138921487,2116906.4377949396
50,322028.98138921487,2116906.4377949396
51,322028.98138921487,2116906.4377949396
52,322028.98138921487,2116906.4377949396
53,322028.98138921487,2116906.4377949396
54,322028.98138921487,2116906.4377949396
55,322028.98138921487,2116906.4377949396
56,322028.98138921487,2116906.4377949396
57,322028.98138921487,2116906.4377949396
58,322028.98138921487,2116906.4377949396
59,322028.98138921487,2116906.4377949396
60,322028.98138921487,2116906.4377949396
61,322028.98138921487,2116906.4377949396
62,322028.98138921487,2116906.4377949396
63,322028.98138921487,2116906.4377949396
64,322028.98138921487,2116906.4377949396
65,322028.98138921487,2116906.4377949396
66,322028.98138921487,2116906.4377949396
67,322028.98138921487,2116906.4377949396
68,322028.98138921487,2116906.4377949396
69,322028.98138921487,2116906.4377949396
70,322028.98138921487,2116906.4377949396
71,322028.98138921487,2116906.4377949396
72,322028.98138921487,2116906.4377949396
73,322028.98138921487,2116906.4377949396
74,322028.98138921487,2116906.4377949396
75,322028.98138921487,2116906.4377949396
76,322028.98138921487,2116906.4377949396
77,322028.98138921487,2116906.4377949396
78,322028.98138921487,2116906.4377949396
79,322028.98138921487,2116906.4377949396
80,322028.98138921487,2116906.4377949396
81,322028.98138921487,2116906.4377949396
82,322028.98138921487,2116906.4377949396
83,322028.98138921487,2116906.4377949396
84,322028.98138921487,2116906.4377949396
85,322028.98138921487,2116906.4377949396
86,322028.98138921487,2116906.4377949396
87,322028.98138921487,2116906.4377949396
88,322028.98138921487,2116906.4377949396
89,322028.98138921487,2116906.4377949396
90,322028.98138921487,2116906.4377949396
91,322028.98138921487,2116906.4377949396
92,322028.98138921487,2116906.4377949396
93,322028.98138921487,2116906.4377949396
94,322028.98138921487,2116906.4377949396
95,322028.98138921487,2116906.4377949396
96,322028.98138921487,2116906.4377949396
97,322028.98138921487,2116906.4377949396
98,322028.98138921487,2116906.4377949396
99,322028.98138921487,2116906.4377949396
100,322028.98138921487,2116906.4377949396
